ŁÓDZKIE;LdSieradWSSEMGrunwal;LdSierGrunwa;Sieradz-Grunwaldzka 28;Sieradz; Grunwaldzka 28
ŁÓDZKIE;LdSkiernWIOSMKonopni;LdSkierKonop;Skierniewice-Marii Konopnickiej 5;Skierniewice; Marii Konopnickiej 5
ŁÓDZKIE;LdTomaszWIOSMSwAnton;LdToMaSwAnto;TomaszówMaz.-Św. Antoniego43;Tomaszów Mazowiecki; Św. Antoniego 43
ŁÓDZKIE;LdWielunWIOSMPOW;LdWieluPOW12;Wieluń-POW 12;Wieluń; P.O.W. 12
ŁÓDZKIE;LdZdWolaWIOSMKrolews;LdZduWoKrole;ZduńskaWola-Królewska10;Zduńska Wola; Królewska 10
ŁÓDZKIE;LdZgierzWIOSAMielcza;LdZgieMielcz;Zgierz-Śródmieście;Zgierz; Mielczarskiego 1
LUBUSKIE;LuGorzowWIOS_AUT;LuGorzKosGdy;Gorzów Wlkp.  Kosynierów Gdyńskich;Gorzów Wielkopolski; Kosynierów Gdyńskich
LUBUSKIE;LuGorzowWIOS_MAN;LuGorzPilsud;Gorzów Wlkp.  Piłsudskiego;Gorzów Wielkopolski; Piłsudskiego
LUBUSKIE;LuWschowWIOS_AUT;LuWsKaziWiel;Wschowa  Kazimierza Wielkiego;Wschowa; Kazimierza Wielkiego
LUBUSKIE;LuZaryWIOS_AUT;LuZarySzyman;Żary,  Szymanowskiego 8;Żary; Szymanowskiego 8
LUBUSKIE;LuZgoraWIOS_AUT;LuZielKrotka;Zielona Góra  Krótka;Zielona Góra; Krótka
MAŁOPOLSKIE;MpBochniWIOSKBar0106;MpBochKonfed;Bochnia,  Konfederatów Barskich;Bochnia; Konfederatów Barskich
MAŁOPOLSKIE;MpBukownWIOSKole1206;MpBukowKolejMOB;Bukowno;Bukowno; Kolejowa
MAŁOPOLSKIE;MpGorlicWIOSKras0511;MpGorlKrasin;Gorlice,  Krasińskiego;Gorlice; Krasińskiego
MAŁOPOLSKIE;MpKetyWIOSWysp1304;MpKetyWyspiaMOB;Kęty,  Wyspiańskiego;Kęty; Wyspiańskiego
MAŁOPOLSKIE;MpKrakowWIOSAKra6117;MpKrakAlKras;Kraków, Aleja Krasińskiego;Kraków;al. Krasińskiego
MAŁOPOLSKIE;MpKrakowWIOSBuja6119;MpKrakBujaka;Kraków,  Bujaka;Kraków; Bujaka
MAŁOPOLSKIE;MpKrakowWIOSB6118;MpKrakBar;Kraków,  Barowa;Kraków; Barowa
MAŁOPOLSKIE;MpLimanoWIOSMBBo0706;MpLimanoBoleMOB;Limanowa,  Matki Bożej Bolesnej;Limanowa; Matki Bożej Bolesnej
MAŁOPOLSKIE;MpMyslenWIOSRyne0907;MpMysleRynekMOB;Myślenice, Rynek;Myślenice;Rynek
MAŁOPOLSKIE;MpWielicWIOSNiep1904;MpNiepo3Maja;Niepołomice,  3 Maja;Niepołomice; 3 Maja
MAŁOPOLSKIE;MpNSaczWIOSNadb6205;MpNoSaczNadb;Nowy Sącz,  Nadbrzeżna;Nowy Sącz; Nadbrzeżna
MAŁOPOLSKIE;MpOlkuszWIOSN1205;MpOlkuFrN;Olkusz,  Francesco No;Olkusz; Francesco No
MAŁOPOLSKIE;MpSkawinWIOSOsie0606;MpSkawOsOgro;Skawina, os. Ogrody;Skawina;os. Ogrody
MAŁOPOLSKIE;MpSlomniWIOSWoln0611;MpSlomWolnosMOB;Słomniki,  Wolności;Słomniki; Wolności
MAŁOPOLSKIE;MpSuchaBWIOSSemi1513;MpSuchSemika;Sucha Beskidzka,  Semika;Sucha Beskidzka; Semika
MAŁOPOLSKIE;MpSzarowWIOS1909;MpSzarowSpok;Szarów,  Spokojna;Szarów; Spokojna
MAŁOPOLSKIE;MpSzczawWIOSSzal1116;MpSzczawJanaMOB;Szczawnica,  Jana Wiktora;Szczawnica; Jana Wiktora
MAŁOPOLSKIE;MpSzymbaWIOS0507;MpSzymbaGorl;Szymbark;Szymbark;gm. Gorlice
MAŁOPOLSKIE;MpTarnowWIOSBitw6304;MpTarBitStud;Tarnów,  Bitwy pod Studziankami;Tarnów; Bitwy pod Studziankami
MAŁOPOLSKIE;MpTrzebiWIOSZWM0305;MpTrzebOsZWM;Trzebinia, os. Związku Walki Młodych;Trzebinia;os. Związku Walki Młodych
MAŁOPOLSKIE;MpTuchowWIOSSzop1602;MpTuchChopin;Tuchów,  Chopina;Tuchów; Chopina
