DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;LbBialaPOrzechowa;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MzWarszKrucza;PkPrzemWIOSDolin
0;8,2;19;21,1;7;19;29,9;17,4;21,1;29,2
44;10,8;20;0;7;25;27,6;11,8;0;32,82
40;0;0;0;0;24;22,8;12,5;24,2;0
31;0;8,3;0;7;0;23,8;13,7;0;23,14
23;4,1;0;0;0;22;37,7;14,1;18;0
27;18,2;19,2;11,7;9;25;22,4;11,4;24,8;25,47
45;27,8;0;0;0;49;30,5;15,9;26;0
48;28,2;27,8;17,4;14;42;39,6;24,5;39,7;59,43
33;15,5;0;0;0;33;33,4;21,3;0;0
23;24;28,2;0;6;28;26,3;15,1;0;23,86
51;10,3;0;0;0;0;24,4;14,2;27,3;0
22;0;22,4;17,9;7;25;22,7;12;21,1;16,52
28;18,4;0;0;0;24;30,1;13,4;21,7;0
30;0;25,2;0;9;39;30,8;16,8;0;0
54;0;0;0;0;0;31,8;17,3;31;0
60;28,3;42,7;0;14;33;37;21,2;0;45,31
46;0;0;0;0;37;38,3;25;0;0
31;0;25,7;0;10;0;31,7;20,2;0;40,4
28;20;0;0;0;25;27,2;12,9;20,5;0
36;18,3;16,8;12,5;7;23;27,9;13,5;22,3;21,67
37;25,4;0;0;0;39;33,7;11,7;21,7;0
41;20,5;21,2;20;11;28;36,7;24,9;29,1;24,29
33;8,6;0;0;0;22;29,4;15,6;0;0
23;10,7;16,5;0;7;14;20,5;9;19,2;0
28;15,9;0;0;0;0;20,6;12,5;0;0
24;17,3;21,6;25,2;8;31;24,7;14,7;22,3;50,3
35;23,8;0;0;0;0;28,1;18,8;0;0
34;36;20,7;16,2;7;46;56,8;23,4;27,9;0
63;16,4;0;0;0;33;61,2;27,3;26,7;0
57;0;18,8;0;10;42;47,8;25,7;0;0
52;0;0;0;0;31;37,9;26,2;27,3;0
47;0;21,5;0;9;0;28,1;17,3;0;27,02
28;10,1;0;0;0;24;37,5;14,6;26,7;0
24;34,1;16,7;13,5;9;20;29,4;12,7;19,2;35,4
38;20,6;0;0;0;24;47,4;17,6;19,2;0
38;34,6;29,6;16,8;12;31;36,8;18,9;22,3;41,32
53;0;0;0;0;33;50,1;27,2;0;0
67;0;36,9;0;13;36;35,7;0;34,1;43,06
42;0;0;0;0;0;22;0;0;0
28;0;22,6;16,2;9;0;25,2;0;31;35,88
40;13,1;0;0;0;0;28,2;0;18;0
39;14,7;27,7;16,5;10;29;44,4;0;27,9;40,47
40;20,7;0;0;0;38;29,6;0;22,9;0
37;14,3;25;0;9;41;39,5;0;0;6,39
32;0;0;0;0;45;40,2;0;0;0
40;0;37,5;0;9;0;40;0;15,5;0
27;0;0;0;0;36;54,7;0;48,4;0
16;0;16,9;12,7;15;25;34,4;0;37,2;25,2
34;0;0;0;0;30;24,2;0;20,5;0
24;25;31,3;12,6;10;43;38,3;0;29,1;44,59
29;19,4;0;0;0;27;37,1;0;26,7;0
32;23,2;22,1;0;8;30;29,9;0;21,9;39,36
31;22;0;0;0;0;22,3;0;21,9;0
26;38;59,4;20;7;30;30,6;0;23,8;36,24
15;55,4;0;0;0;42;30,7;0;18,3;0
13;0;27,9;20,8;8;39;28,3;0;23,8;25,21
13;22,7;0;0;0;38;34,7;0;23,8;0
33;20,7;14,6;0;7;33;29,6;0;29,3;31,25
19;0;0;0;0;20;30;0;29,3;0
18;0;19,9;0;9;0;26,8;0;0;31,05
