DsWrocWie;KpCiechoTezniowa;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MzWarszKrucza;PkPrzemWIOSDolin
38,3;0;32;48,9;0;22,3;0
26,7;40;0;45,1;26;0;63,39
28,8;0;39;48,4;39;46,5;0
26,5;32;48;47,6;26;24,8;0
26;0;39;49,9;33;19,2;0
21,4;58;26;33,4;0;23,6;24,03
22,9;0;18;19;0;0;0
16,4;24;27;0;0;27,3;17,19
28,8;0;0;21,2;0;0;0
37,6;0;40;32,1;0;37,2;29,12
46;0;49;45,4;0;45,9;0
39,3;0;59;55,2;0;0;69,05
24,6;0;0;38,1;0;45,3;0
19,5;0;37;33,5;0;0;37,7
16,4;0;24;29,9;0;0;0
11,6;0;0;22;0;0;11,41
18,7;0;23;25,8;0;23,6;0
49,7;0;26;22,7;0;19,8;0
105,5;0;25;26,4;0;19,8;0
19,8;0;38;30,8;0;19,2;42,78
0;0;42;32,5;0;0;0
0;0;34;0;0;19,2;45,13
0;0;0;0;25;0;0
29,7;0;41;0;27;18,6;46,21
24,4;0;54;0;18;24,2;0
16,9;0;37;0;15;27,9;22,82
30,8;0;30;0;13;17,4;0
23,7;0;44;0;21;0;74,68
12,7;0;43;0;20;16,1;0
19,8;0;0;0;10;0;13,01
19,5;0;38;0;15;21,7;0
17,1;0;33;0;23;26;39,18
18,2;0;37;0;6;19,2;0
25;0;41;0;20;31;31,54
18,6;0;43;0;21;0;0
16,2;0;31;0;16;26,7;36,75
10,4;0;0;0;12;0;0
13,8;0;30;0;10;44;17,94
20,8;0;20;0;0;16,7;0
6,7;0;23;0;27;27,3;0
20,9;0;21;0;21;18,6;0
18,3;0;21;0;18;0;0
24,6;0;17;0;20;20,5;0
31;0;0;0;20;0;46,58
34,3;0;33;0;26;27,9;0
17,6;0;33;20,2;28;25,4;49,97
21,9;0;27;18,9;19;27,9;0
31,3;0;36;17,1;18;21,7;31,54
25,9;0;31;21;27;0;0
12,9;0;19;9;0;26;11,91
14;0;0;8,9;0;0;0
25,9;0;22;15,1;0;28,5;28,68
28,6;0;31;0;0;37,2;44,22
27,1;0;31;23;0;19,2;0
26,8;0;35;19,6;0;21,1;57,87
26,2;0;51;19,5;0;0;0
34,2;0;39;20,9;0;24,2;41,19
26,1;0;0;20,8;0;0;0
24,6;43;74;17,9;0;26;0
25,6;0;28;16,8;0;32,2;0
33,2;23;24;19,3;0;31,6;42,33
40,5;0;32;16,9;0;32,9;0
28,1;50;26;20,9;0;0;47,58
26,1;0;27;19;0;33,5;0
34,7;0;0;21,9;0;0;40,77
44,3;0;0;0;32;37,2;0
41;51;0;0;31;0;13,83
46,9;0;42;0;40;29,1;0
42,1;27;33;0;38;24,8;55
28,7;0;28;0;34;0;0
46,6;42;38;0;37;30,4;86,35
89,2;0;0;0;34;0;0
32,1;28;18;26,8;46;18,6;87,58
22;0;26;21,5;24;25,4;0
28,1;18;28;18,4;21;19,8;38,54
27,7;0;19;17,8;29;35,3;0
16,8;15;16;15,8;31;0;30,36
17,2;0;14;15,3;25;31;0
23,1;31;0;17;31;0;22,98
30,8;0;43;20,3;55;43,4;0
42;0;52;29,6;68;0;59,06
32;0;45;29,3;0;36,6;0
34,7;0;40;29,9;0;30,4;45,18
34,4;0;46;23,6;56;0;37,08
15;0;39;20;58;37,2;0
9,1;19;0;12,2;28;0;0
10;0;25;11,3;20;36,6;0
10,2;15;26;11,2;17;13;36,99
22;0;37;0;0;24,2;0
28;40;39;25,3;0;28,5;38,41
30,3;0;41;0;0;0;0
27,9;37;53;0;0;32,9;74,01
26,8;0;0;0;0;0;0
26;18;45;37;0;29,8;74,77
35,2;0;37;28;0;37,2;0
36,6;29;0;0;0;39,7;70,81
20,1;0;0;21,4;0;16,1;0
27,2;14;0;17,4;0;0;52,51
30,3;0;0;18,8;0;25,4;0
9,3;14;0;12,9;0;0;17,38
14,3;0;0;12;0;31;0
26,6;18;0;18,7;0;44;30,26
20;0;0;24,1;0;32,2;0
24,2;42;0;19,8;0;37,8;40,02
32;0;0;16,1;0;0;0
14,3;39;0;26,4;0;44;36,25
29,8;0;0;24,1;0;0;0
45,2;50;0;45,9;0;76,9;64,54
47,8;0;0;39,9;0;0;0
96;43;0;0;0;55,8;0
59,1;0;0;0;0;41,5;0
59,4;42;0;35,7;52;0;72,2
53,3;0;0;28,2;45;42,2;0
38,4;0;0;0;36;0;51,27
48;0;0;0;37;32,2;0
39;33;0;0;41;32,2;88,96
66,6;0;0;0;67;33,5;0
89,6;52;0;0;93;37,8;115,55
30,1;0;0;0;52;0;0
0;40;0;0;47;18,6;0
0;0;0;0;55;0;0
28,1;44;0;26,9;48;47,1;0
32,6;0;0;25,3;51;40,9;0
32,8;38;0;19,6;35;42,2;0
45;0;0;26,2;35;19,2;0
54,8;73;0;35,1;54;0;0
68,6;0;0;40,4;67;18;0
55,1;28;0;31,1;45;0;0
48,1;0;0;47,4;64;52,7;0
42,3;55;0;0;65;28,5;0
36,4;0;0;0;48;42,8;0
53,3;46;0;40,3;43;41,5;0
60,4;0;0;33,8;44;0;0
0;63;0;35,7;58;59,5;0
0;0;0;42,2;75;0;0
68,1;70;108;49,1;87;74,4;0
44,5;0;53;38,2;61;16,1;0
24,4;33;40;25,8;31;49;0
22,7;0;24;21,8;28;45,9;0
30,5;30;38;16;19;0;0
26,4;0;36;0;34;28,5;0
28,4;31;0;0;31;0;0
39,2;0;46;0;30;22,9;0
0;21;34;24,9;28;25,4;0
0;26;0;12,3;12;0;0
33;0;43;21,2;37;24,8;0
29,1;30;28;19,8;29;0;0
0;0;34;21,5;29;24,2;0
0;36;0;17,9;19;0;0
29,3;0;26;29,5;26;27,3;0
26;35;39;19,2;23;26,7;0
44,8;0;53;28,2;38;32,9;0
54,2;54;65;28,2;35;23,6;0
0;0;73;42,6;60;0;0
0;50;61;29,3;45;44,6;0
0;0;0;30;49;0;0
53,4;59;63;0;62;41,5;0
76;0;110;0;0;31;0
72,8;39;65;35,1;32;22,9;0
44,1;0;49;34,7;38;37,8;0
64,7;26;68;46,3;43;0;0
44,7;0;53;27,8;42;43,4;0
59,3;62;0;26,6;35;0;0
53,7;0;83;52,3;80;56,4;0
46,3;41;60;51,8;66;41,5;0
64,2;0;95;55,6;79;65,1;0
64,9;53;70;50,8;51;52,7;0
45,8;0;70;37,3;73;0;0
73,6;50;63;39;45;56,4;73,09
17,9;0;0;19,3;21;0;0
26,5;25;51;19,6;22;46,5;74,96
38,8;0;58;26,4;43;64,5;0
53,7;39;69;56;85;120,9;84
77,4;0;89;61,7;111;100,4;0
92,2;75;110;80,1;129;0;165,77
76,6;0;115;43,3;68;47,1;0
42,7;63;0;37,4;55;0;155,23
61,9;0;77;41,1;52;49,6;0
62,3;41;54;35;46;91,8;109,04
62,3;0;47;40,1;31;44,6;0
57,8;55;62;37;45;87,4;35,14
121,9;0;60;54,4;75;0;0
0;50;67;43,6;58;57,7;111,52
0;0;0;39,9;60;0;0
32,5;33;38;23,7;24;50,8;35,28
23,1;0;35;21,9;26;49,6;0
26,2;16;34;22,3;28;59,5;36,22
21,9;0;49;20,7;23;57;0
15;16;26;18,5;18;0;50,41
18,4;0;23;9,3;10;41,5;0
18,3;23;0;10,1;11;0;51,97
44,8;0;58;18,4;23;42,2;0
64,4;41;61;28,4;34;32,9;43,21
70,3;0;80;24,1;31;29,8;0
59,4;129;105;29,2;34;75,6;84,87
0;0;78;49,3;93;0;0
0;40;70;44,1;56;63,2;54,85
0;0;0;36,8;44;0;0
0;146;0;56,3;74;0;55,59
0;0;0;45,9;70;0;0
93,5;139;60;31,4;39;45,3;66,47
38,2;0;41;26,2;30;37,2;0
0;0;61;21,4;26;0;64,34
0;0;58;20,4;27;62;0
0;0;0;0;0;0;37,73
