Kod stacji;DsJelw05;DsLegZlotor;DsLubinMaj;DsNRudaSrebPArch;DsSwidRynekArch;DsWrocWie;KpCiechoTezniowa;KpSadlog;KpSwiecGruczno;KpSwiecKolejowa;KpTorunDziewulsk;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdKutnoWIOSMWilcza;LdLodzWSSEMWodna40;MpAndrycWSSEKrak1801;MpBochniWSSESoln0102;MpChrzanWSSEGrzy0301;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MpKrakowWSSERPod6113;MpNoTargWSSESzaf1102;MpOswiecWSSEWiez1301;MpTarnowWSSEMosc6301;MpWielicWIOSNiep1904;MzCiechStrazacka;MzOstrolTargowa;MzWarszBernWoda;MzWarszKrucza;MzWarszZelazWSSE;OpKkozle243;OpOpole45p;OpPrud189p;PdBialyLegionowa8;PdLomzaKopernika16;PdSuwPulaski;PkJasloWIOSFlor;PkPrzemWIOSPDom;SkChecBiaZag;SkKielJagiel;SkOzarowMiec;SkOzarowOsWz;WmOlsztyWSSE_Zolnier;WpKonin31018;WpLeszno411000;WpPila5710111;WpPoznan63117;ZpGryfWiduchowa003;ZpSzczWSSESped6
37913;6,833;0;41;0;30;0;66,81;38;58;35;69;0;0;26;11,8;74;40,5;27,8;43;0;35;0;52;105,958;83;0;53;0;0;98,6;0;91,6;5;45,7;66;67;26;69;0;77,7;94,8;0;0;66;102;0;0;30,1;0;52;100;50;50,2;70
37914;7,75;24,7;48;0;63;60,3;0;42;55;31;80;0;29;19;0;55;45,3;36,7;0;60;66;0;61;125,292;77;0;30;2;0;98,4;0;93,6;4;64;55;0;25;0;0;0;0;12;123;69;73;31;38;45;47;0;88;57;68,7;79
37915;14,167;29,8;37;0;64;34,2;33,37;31;32;15;47;0;12;9;10,1;24;28,1;15,7;0;38;45;0;64;78,042;57;0;44;45;0;63,4;23;42,3;4;18,3;22;0;37;0;0;43,5;54,3;33;68;40;33;30;27;13,1;0;12;40;32;36,6;38
37916;9,292;24,6;31;0;31;28,5;0;15;10;40;44;21;11;10;0;29;17,3;16,7;0;31;22;0;22;0;33;0;18;48;0;39,8;20;19,8;9;7,3;21;0;35;0;0;0;0;24;61;22;22;17;19;22,4;0;0;31;45;55,7;29
37917;10,833;38;56;0;39;63;22,55;47;26;28;70;0;9;18;11;26;18,2;11,6;0;60;15;0;28;0;28;0;16;33;0;36,4;87;54,9;16;12,8;47;0;0;0;0;56,3;55,5;0;0;14;42;14;22;10,6;0;25;0;38;22,2;23
37918;5,5;0;29;0;50;35,8;0;32;29;22;56;29,3;12;34;0;54;32,5;38,6;67;55;48;0;91;62,875;57;0;11;41;0;54,2;43;84,1;37;18,3;49;0;0;0;0;0;0;0;0;47;63;0;0;14,4;0;0;0;35;20,8;20
37919;4,958;0;27;0;23;23;40,24;23;15;5;28;0;0;19;12,7;36;34,2;31,5;27;31;17;0;27;71,083;73;0;0;83;0;59,3;24;0;47;43,9;27;0;0;0;0;45,8;36,7;0;0;49;28;33;29;14,3;0;65;33;21;25,8;11
37920;4,5;0;6;0;27;13;0;8;6;4;13;0;0;0;0;32;24,4;15,3;70;0;17;0;21;32,739;28;0;0;62;0;30;19;0;10;16,5;20;0;0;0;0;0;0;0;0;30;19;21;19;5,4;0;0;0;18;11,6;25
37921;3,958;40,8;59;0;42;56,1;31,06;17;15;14;34;0;9;19;15,1;73;44,5;35,3;0;47;78;0;114;77,526;48;0;45;65;0;59,5;31;49,4;17;42,1;36;0;0;0;0;49,3;62,3;52;93;38;40;29;26;36,5;0;74;0;39;24,1;18
37922;5,917;29,9;71;0;39;49,2;0;31;24;12;41;18,1;20;25;0;40;32,4;33,3;0;60;100;0;71;140,208;122;0;93;125;0;134,1;45;71,7;14;34,8;61;0;0;0;0;0;0;23;127;79;54;41;29;47,4;0;0;102;46;20,8;28
37923;7,792;24;58;0;27;44,1;50,56;44;50;28;61;0;27;18;12;27;0;47,7;0;54;83;0;70;143,25;101;0;19;114;0;71,2;60;76,7;13;20,1;46;0;0;0;0;70,1;90,3;20;95;46;37;29;26;31,5;0;41;98;46;28,5;36
37924;8,667;46;75;0;32;44,8;0;54;60;31;54;50,3;36;14;0;42;0;36,6;0;48;83;0;52;0;73;0;37;58;0;72,7;54;63,5;0;45,7;44;0;0;0;0;0;0;0;0;33;34;0;0;25,4;0;0;0;60;30;36
37925;3,792;0;0;0;0;0;41,22;42;56;31;55;0;10;23;12,8;19;0;32,6;0;38;0;0;34;94,167;70;0;36;37;0;65,8;58;73,6;52;51,2;51;0;0;0;0;64,5;65,6;0;0;57;45;0;0;28,5;0;26;0;32;23,6;31
37926;6,917;0;66;49,65;39;0;0;22;33;0;34;0;0;10;13,1;17;22,1;0;0;0;0;0;34;57,273;26;0;16;9;0;23,9;69;39,5;0;56,7;46;0;0;0;20;41,7;81,2;0;0;17;23;0;0;32,6;0;0;71;0;19,9;22
37927;6,292;0;58;41,81;39;0;22,2;20;28;0;42;0;0;0;0;25;24,4;0;0;0;0;0;48;47,783;40;0;36;62;0;37,1;60;59,6;0;23,8;37;0;0;0;18;0;0;0;0;31;29;19;19;23;56;0;0;0;9,3;15
37928;4,875;33,5;23;119,16;33;20,3;0;18;23;0;28;0;7;14;12,7;24;21,8;18,3;0;31;15;0;27;67,208;39;0;0;20;0;31,6;0;36,8;0;32,9;45;0;0;0;26;43,8;0;13;47;26;36;19;26;18;25;28;49;22;7,4;11
37929;4,667;24,3;41;32,65;24;25,2;34,21;11;11;0;17;31,7;4;15;0;26;22,9;23,7;0;30;29;0;56;79,333;43;0;18;40;0;38,3;0;20,2;0;25,6;21;0;0;0;25;0;0;22;57;29;15;20;19;1,9;0;0;0;22;11,8;13
37930;6,208;16,9;38;109,05;67;28;0;16;24;0;29;0;12;16;11,2;33;20,4;17,3;0;41;62;0;35;67,667;53;0;49;92;0;50,3;0;19,9;37;21,9;17;0;0;0;19;60,1;41,8;30;58;28;45;26;26;22,1;0;28;0;33;12,2;17
37931;12,583;25;32;0;52;16,6;23,31;22;31;0;36;29,8;14;3;0;20;18,7;6,7;0;36;29;0;19;40,958;27;0;27;8;0;33,8;0;52,3;8;18,3;30;0;0;0;17;0;0;0;0;26;14;11;15;24,4;0;0;8;33;31;32
37932;11,542;0;22;0;33;19,8;0;12;21;11;19;0;13;0;8,9;30;16,5;17,1;45;0;55;0;6;41,042;17;0;22;15;0;20,1;0;0;0;23,8;28;0;0;0;18;49,3;34,9;0;0;0;19;11;17;14,3;35;40;0;31;22,9;22
37933;9,542;0;31;0;53;0;14,45;22;19;9;21;0;0;0;0;27;22;0;33;46;29;0;29;63,833;41;0;33;6;0;65,6;0;0;0;36,6;28;0;0;0;24;0;0;0;0;0;29;19;28;12,6;0;0;0;42;22,5;25
37934;20,75;0;12;0;50;0;0;16;13;5;11;0;0;0;8,5;13;10,3;0;30;0;15;0;6;49,696;29;0;14;0;0;35,6;0;0;0;11;10;0;0;0;12;0;36,1;0;0;0;9;9;11;3,1;0;33;64;32;16,6;28
37935;13,625;0;23;0;49;0;19,8;12;13;5;8;0;13;17;0;30;16,5;0;61;19;33;0;6;36,87;22;0;20;3;0;22,7;0;0;0;23,8;32;0;0;0;10;0;0;0;77;0;12;11;14;6,2;0;0;0;28;15,6;22
37936;24,833;0;30;0;88;0;0;24;32;19;24;0;24;17;9,9;32;22,3;0;99;0;45;0;14;65,522;26;0;0;0;0;37,4;0;0;0;21,9;32;0;0;0;24;42;41,8;0;79;0;28;24;28;9,2;0;44;0;35;13,6;31
37937;40,583;42,8;38;0;78;0;39,65;41;52;0;36;0;24;11;0;44;28,7;20,6;196;50;120;0;44;103,458;59;0;88;32;0;0;0;33;0;34,8;56;0;0;0;22;0;0;49;143;0;26;24;25;50,4;0;0;67;50;12,6;42
37938;42,292;66,4;40;0;78;0;0;42;35;0;28;0;28;19;10,9;60;41,6;42,2;0;72;182;0;66;93,625;67;0;113;62;0;95,5;0;52,6;0;29,3;51;0;0;0;46;35;117,9;88;0;0;102;27;46;58,2;0;114;92;79;16;61
37939;26,75;0;28;0;0;0;65,04;101;78;48;74;27;53;9;0;40;46,3;23,7;129;94;179;0;85;160,125;105;0;168;74;0;101;0;64,8;0;34,8;86;0;0;0;47;0;0;0;0;0;59;45;55;27,4;0;0;0;103;21,8;83
37940;18,042;0;44;0;0;0;0;83;76;48;79;0;0;18;14,3;57;36,9;25,9;193;112;109;0;147;175,583;164;0;105;140;0;124,2;0;80,5;0;71,3;77;0;0;0;24;56,1;69,8;0;0;0;74;50;47;6;83;19;153;73;26;40
37941;24,083;0;24;0;0;0;66,19;69;80;55;75;0;0;0;0;74;64;46,2;27;0;97;0;87;197,167;188;0;0;109;0;148,7;94;109,2;0;53;94;0;0;0;31;0;0;0;0;0;64;48;56;32,3;86;0;0;61;24,1;41
37942;10,417;12,7;97;0;0;0;0;22;20;14;27;0;24;12;15,6;26;33,5;18,6;0;25;0;0;13;0;70;0;16;0;0;64,8;22;72,5;0;45,7;23;0;0;0;44;50,7;63,8;17;54;0;10;16;15;15,1;18;62;0;12;11,1;13
37943;3,375;20,2;0;0;0;0;18,47;12;7;5;19;17,6;13;13;0;25;14,4;21,6;35;29;0;0;20;32,652;27;0;13;0;0;30,8;36;32,4;0;29,3;29;0;0;0;17;0;0;27;40;0;10;25;15;18,8;0;0;0;16;6,9;8
37944;2,833;24;0;0;15;28,1;0;4;1;5;3;0;7;10;11,5;12;11,6;8,2;35;17;0;0;13;28,842;20;0;10;3;0;19,8;21;12,4;0;29,3;12;0;0;0;17;18,7;34,3;14;32;0;3;13;8;0;28;20;24;11;8,2;6
37945;7,042;39,1;40;0;60;0;38,48;12;13;8;20;8,9;24;21;0;47;11,5;28,9;117;68;196;0;71;81,783;62;0;61;108;0;58;28;48,4;0;45,7;38;0;0;0;8;0;0;0;0;0;70;21;41;19,3;0;0;20;42;17,8;14
37946;10,917;0;41;0;50;0;0;33;23;13;33;0;20;25;15,5;46;26,6;24,6;100;67;140;0;43;148,417;137;0;0;93;0;160,8;53;50,9;0;16,5;53;0;0;0;24;44,1;66;0;0;0;61;40;40;31,3;0;82;0;55;27,1;22
37947;19,583;0;26;113;33;0;45,94;35;35;22;46;0;0;0;0;44;30,1;31,5;107;59;0;0;116;148,75;162;0;0;98;0;135,4;40;73,5;25;32,9;63;0;0;0;33;0;0;0;0;0;101;0;0;84,7;0;0;0;49;26,7;25
37948;9,875;0;21;123;23;0;0;34;43;23;36;0;0;22;13,7;35;33,3;26,8;100;0;133;0;99;163,5;147;0;0;108;0;150,1;0;96;10;25,6;64;0;0;0;45;79,1;109;0;0;0;59;0;0;40,5;0;65;20;48;25,9;26
37949;11,958;45,8;56;60,3;28;22,6;60,67;44;0;37;38;0;26;27;0;52;37,3;33,2;149;83;27;0;135;244,625;177;0;0;83;0;217,3;0;0;30;40,2;70;0;0;0;44;0;0;31;84;0;98;32;54;43,6;0;0;129;80;46,8;42
37950;18;47;106;181;72;27,1;0;51;0;28;64;0;45;26;13,4;42;45,1;35,5;0;74;0;0;64;213,208;141;0;0;0;0;153,6;96;0;69;49,4;62;0;0;0;48;80,8;88,6;25;122;0;57;31;48;24,5;0;60;124;106;48,3;61
37951;16,917;44,2;57;69,1;76;32,2;44,41;47;53;32;47;89,1;32;19;0;48;37,1;26,5;0;51;0;0;35;178,75;72;0;0;25;0;54,9;45;59,4;20;47,6;51;0;0;0;45;0;0;22;101;0;27;29;39;85,4;55;0;96;0;29,2;31
37952;12,958;33,5;43;64,7;29;43,4;0;33;29;15;20;0;20;17;10,7;61;39,3;32,4;0;36;0;0;29;103,833;58;0;0;13;0;32,9;46;57,1;8;40,2;52;0;0;0;32;33,7;63;0;0;0;38;27;33;60,7;0;50;82;0;27,2;43
37953;11,917;0;47;33;63;78,4;46,16;43;39;21;27;34,6;27;8;0;37;43,3;16,8;0;60;63;0;47;119,542;54;0;0;55;0;0;38;44,9;5;80,9;48;0;0;0;32;0;0;0;0;0;40;36;40;27,1;0;0;0;0;26;30
37954;11,708;0;29;131;47;36,6;0;34;36;23;36;0;0;3;9,3;49;40,7;24,6;0;58;88;0;39;102,583;54;0;0;33;0;68,6;36;50,9;5;29,3;49;0;0;0;20;0;39,3;0;0;0;61;0;0;20,6;0;67;70;0;18,6;19
37955;8,125;0;36;64,2;0;71,2;45,94;39;33;18;28;0;0;0;0;24;23,4;9;0;0;92;0;21;94,542;79;0;0;29;0;68,5;13;16;10;49,4;38;0;0;0;18;0;0;0;0;0;0;0;0;8,4;0;0;0;0;22,8;0
37956;15;25,8;30;0;0;59,2;0;23,3;20;10;16;0;4,7;3;8,1;28;17,3;14,1;0;34;58;0;44;167,625;89;0;0;51;0;62,2;28;27,9;13;25,6;42;0;0;0;10;19,2;56;13;51;0;0;5;3;16,4;0;0;0;0;28,5;0
37957;21,625;29,3;47;0;0;56,5;36,19;19,2;0;12;20;35;6,9;8;0;41;24,8;20;0;35;127;0;51;161,042;107;0;0;274;0;98,7;20;54,5;38;23,8;44;0;0;0;17;0;0;15;91;21;0;11;12;38,4;0;27;66;88;32,7;35
37958;23,667;24,9;73;0;49;102,9;0;48,5;33;16;33;0;10,2;0;12,4;55;47,6;40;0;85;170;0;177;211,583;195;0;0;187;0;134,7;31;49,2;48;34,8;70;0;0;0;24;39,7;60,1;18;161;99;149;23;39;18,6;0;0;11;75;25,4;32
37959;26,583;29,2;38;0;54;51,1;34,39;16;9;6;10;16,5;5,1;25;0;52;42,1;32;0;41;197;0;167;226,875;238;0;0;3;0;202;24;31,4;0;20,1;27;0;0;0;49;0;0;0;0;59;38;21;29;10;22;17;0;21;17;14
37960;11,042;0;9;0;24;11,9;0;9,1;5;4;3;0;5,4;7;13,3;18;14,9;13,1;0;19;38;0;22;68,5;65;0;0;0;0;60,6;11;12,6;0;18,3;14;0;0;0;17;21,1;22,1;0;0;17;24;14;11;15;0;0;0;18;5,4;9
37961;2;0;9;0;5;17,8;12,69;7,2;6;6;3;0;0;0;0;13;8,2;16,3;0;21;20;0;6;22,105;19;0;0;0;0;24,3;6;7,9;0;18,3;12;0;0;0;14;0;0;0;0;6;3;10;11;4,4;0;35;0;14;1,9;9
37962;4,458;0;19;0;37;28,2;0;5,9;5;4;2;0;0;11;8,7;21;14;18,8;0;0;42;0;54;35;32;0;0;0;0;33,3;15;9,9;0;11;13;0;0;0;6;16,5;20;0;0;15;14;13;10;7,4;0;0;0;17;3,5;12
