DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor
17,7;0;29;18,792;18,792;11;19;32,78;20
27,7;0;36;18;21,583;8;39;46,02;48
12,5;0;20;48,417;47,292;6;24;35,37;23
17,9;0;31;29,708;27,083;16;0;28,15;23
17,9;0;19;37,958;41,833;0;0;35,74;38
29,2;0;30;54,542;56,708;0;0;69,07;50
31;0;53;97,833;73;23;68;92,96;69
18,8;0;35;62,208;63,333;15;46;44,63;61
27,8;0;40;81,273;64,875;25;0;74,35;47
26,9;0;36;52,75;46,167;22;0;41,39;34
33,5;0;50;86,833;56,208;0;0;47,59;45
25,9;24,2;35;59,458;50,25;0;0;46,67;41
26,6;30,7;37;55,5;58,625;0;41;42,08;50
12,8;7;14;41,833;35,708;0;21;27,22;29
12,4;7,1;13;6,875;6,333;0;12;9,35;13
17,4;0;26;47,75;36,625;0;28;46,11;56
24,7;0;24;60,042;41,292;0;0;50,56;44
31,9;29,8;34;108,417;65,875;0;0;59,17;47
29,8;37,8;41;127;73,458;0;0;56,57;62
15,5;49,6;25;124,833;72,625;0;0;90,46;90
24,3;24,2;27;33,042;33,625;18;0;52,59;44
34,7;7;25;34,083;23,208;25;0;54,07;39
54,6;0;58;58,208;49,167;27;0;96,85;141
36,8;0;41;59,583;57,917;10;52;92,22;84
26,8;31,8;45;80,708;64,167;17;40;50;58
34,4;29;62;60,417;52,708;15;67;99,81;32
10,9;20,2;50;40,833;26,917;27;0;59,72;0
15,5;8;17;11,75;10,292;6;27;17,31;0
23,9;10,9;36;27,217;16,375;19;28;36,11;0
30,5;0;24;34,75;26,208;9;14;34,07;0
30,6;0;31;56,125;43,833;14;44;66,76;0
29,1;14,2;24;47,625;32,833;16;28;46,57;0
32,9;12,7;26;43,833;33,708;19;38;0;0
38,3;19,1;29;84,625;49,25;10;47;66,03;0
30,9;10,5;17;62,792;36,333;10;40;0;0
31,2;18,2;28;43,667;27,792;1;29;76,64;0
35,3;0;39;69,875;45,417;31;60;121,67;0
16,1;0;20;107,25;89,417;14;28;64,63;0
14,8;0;23;111,292;61,708;8;0;54,17;0
20,6;0;27;98,583;66,667;0;0;48,7;0
30,4;45,3;48;129,375;88,542;13;0;103,43;0
