DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MzWarszKrucza;PdLomzaKopernika16;PdSuwPulaski;WpPila5710111;ZpSzczWSSESped6
0;21,8;0;0;66;0;5,4;40;36,7;0;28;43,9;31,1;0;0;0;0
0;30,3;24,2;18,3;53;6;6,9;27;23,2;0;23;43,9;21,9;21;34,4;29;0
0;31,6;0;0;50;0;10,6;41;24,4;37,8;31;52,4;40,2;0;0;51;0
0;26,1;27,2;0;40;10;6;27;29,1;32,7;30;50,5;27,4;20,2;18,6;0;0
0;19,4;0;0;0;0;16,2;20;17,3;25,7;25;45,8;22,8;0;0;20;0
0;24,1;24,9;0;0;8;9,8;44;0;0;0;40,4;20,1;14,6;23;0;0
0;26,9;0;0;18;0;9,9;34;0;0;24;53,5;12,8;0;0;28;28
0;32,5;31,2;32,5;32;17;6,1;39;0;0;31;51,8;87,8;26;34,7;0;28
0;32,6;0;0;29;0;6,9;28;0;0;27;54,5;16,5;0;0;52;42
0;32,8;34,7;37;33;17;10,1;43;0;0;47;61,5;47,6;37,4;37,6;0;0
0;31;0;0;18;0;7,3;48;0;0;48;69,7;38,4;0;0;0;0
0;23,5;34,7;0;0;18;13,5;37;30,7;0;29;56,1;16,5;24,5;40,6;36;0
0;33,5;0;0;0;0;6,8;28;28,3;26,6;0;49,7;67,7;0;0;0;0
0;19,5;20,8;23,2;25;8;8,3;39;32,8;27,6;30;58;27,4;22,6;33,7;29;17
0;21,5;0;0;17;0;6,6;37;27,9;7,7;39;54,2;25,6;0;0;22;17
0;0;20,7;0;11;7;6;31;15,9;0;21;30,7;36,6;16,8;28,1;0;0
0;0;0;0;28;0;7,4;24;17,8;0;21;30,3;20,1;0;0;24;0
0;0;20,2;0;23;13;8;32;19,7;0;30;45,2;23,8;17,3;30,5;0;0
8;0;20,3;0;0;6;6,8;20;19,7;0;28;27,9;11;16,4;34,5;0;0
5;0;0;0;0;0;10;17;15;0;0;27,1;20,1;0;0;0;0
6;29,2;20,4;20,1;13;11;9;27;22,3;0;31;41,3;40,2;42;18,4;27;17
14;29,2;0;0;19;0;11,4;28;25,3;0;37;57,9;51,2;0;0;39;19
25;31,7;20,8;30,6;22;12;12,1;32;23,2;25,6;30;61,1;20,1;28,1;28,6;42;81
20;18,6;0;0;30;0;6,2;27;25,3;27,9;38;69,3;49,4;0;0;0;33
10;14,9;24,5;0;17;16;4,2;18;18,9;21,8;21;57,5;21,9;61,4;24,2;28;0
9;13,9;0;0;0;0;3,3;14;19,6;0;25;34,7;11;0;0;0;0
10;27,7;27,7;0;0;6;3,6;18;20,4;0;0;39,9;11;13,5;38,4;0;0
8;17,9;0;0;20;0;3,5;23;21,7;0;31;58;12,8;0;0;20;14
6;22,9;20,4;30,1;9;6;3,5;18;18,2;0;34;38;14,6;0;40,4;32;0
5;19,5;0;0;9;0;5,9;25;24,8;0;33;50,5;42,1;0;0;12;11
10;13,7;33,8;23,8;15;8;4,4;19;25,4;0;31;53,3;32,9;10,6;42,5;0;0
8;18,9;0;0;18;0;6,8;22;17,3;0;26;44,3;21,9;0;0;0;0
14;20,1;17,3;0;0;8;5,1;23;23,9;32,3;36;45,8;7,3;38;0;0;0
12;21,7;0;0;0;0;9,8;19;23;19,4;0;35,5;7,3;0;0;0;0
8;27,4;21,1;28,5;7;8;8,1;29;25,6;30,3;40;55,9;49,4;27,8;0;46;41
15;34,4;0;0;11;0;4,7;16;24,8;0;38;77,8;11;0;0;56;35
28;34,5;25,2;45,7;11;13;15,7;18;27,5;0;42;73,9;16,5;34;0;50;40
32;30,7;0;0;8;0;10,6;31;33,9;0;46;85,4;43,9;0;0;47;0
17;26,1;28,6;0;6;16;3,6;34;36,4;0;43;67;25,6;37,8;0;0;0
10;23,2;0;0;0;0;3,6;33;33;0;38;47,4;29,3;0;0;0;0
13;18,6;27,6;0;0;14;3,6;31;32,7;0;0;43,8;16,5;26;0;0;0
5;21,4;0;0;4;0;4,6;19;23,4;0;31;45,6;16,5;0;0;36;0
6;20,6;16,8;17,9;7;8;6,8;16;22,3;21,4;40;44;40,2;22,3;21,4;35;0
10;19;0;0;12;0;6,4;32;25,2;26,5;36;50,6;58,6;0;0;52;25
0;22;20,8;25,4;13;13;6,5;35;33,6;36,9;33;60,7;29,3;26,6;57;28;0
0;18;0;0;5;0;3,4;16;26,7;0;25;51,9;9,1;0;0;0;0
0;12,9;13,4;0;0;6;3,5;5;18,8;0;19;30,8;11;22,2;25,9;23;0
0;17,7;0;0;0;0;4,9;20;19;0;0;29,6;11;0;0;0;0
7;33,5;30,6;28,1;22;14;4;29;23,6;0;31;61,1;23,8;20;60,2;0;10
6;19,6;0;0;18;0;5;44;36,3;0;22;94,9;32,9;0;0;41;46
7;19,2;31,3;24;6;18;14,5;45;34,5;0;30;81;62,2;22,6;30;0;32
10;34,4;0;0;6;0;12,5;30;34,5;0;19;68,3;29,3;0;0;42;0
11;22,7;27,1;0;4;6;7;32;21;26,1;20;59,9;29,3;16;31,3;26;0
10;21;0;0;0;0;10,3;28;25;34,5;22;84,5;65,9;0;0;0;0
11;23,2;22,1;0;0;11;11,4;31;29,7;37,1;0;64,9;18,3;18,1;60,9;36;0
7;34,5;0;0;14;0;8,2;37;25,8;0;27;94,1;21,9;0;0;47;0
14;38,7;25,5;37,1;26;15;8;37;28,4;0;21;108;65,8;23,2;31,4;67;0
26;26,5;0;0;18;0;6,9;49;43;0;32;0;20,1;0;0;0;0
14;20,1;19,9;23,5;4;16;8;39;44,6;0;15;49,3;36,6;0;35;48;0
12;21;0;0;6;0;6,1;20;19,3;0;14;70,6;12,8;0;0;0;0
17;29,3;17,6;0;0;12;7,1;28;26,1;0;16;56,3;11;0;29,9;0;0
18;29,4;0;0;0;0;6,2;32;26,6;0;0;40;20,1;0;0;0;0
12;29,8;21,6;30,6;6;11;9,3;25;32,4;32,9;18;58,8;18,3;0;33,2;0;0
20;26,8;0;0;15;0;5,3;25;24,5;33,9;20;66,3;53;0;0;0;0
11;26,3;18;32,7;3;12;10;25;36;29,2;26;66,9;25,6;0;35,4;0;0
9;17,4;0;0;3;0;12,3;24;27,8;0;21;51,2;32,9;0;0;48;0
9;16,6;17,7;0;2;9;4,7;23;25,7;0;17;58,7;11;0;47,8;0;0
8;14,4;0;0;0;0;6;18;26,9;0;24;61,1;25,6;0;0;23;0
13;34,1;21,9;0;0;6;6,9;21;24,2;0;0;47,3;14,6;19;21,5;0;0
10;22,1;0;0;22;0;7,9;18;27,1;0;16;63,7;14,6;0;0;30;0
13;22;18,5;19,8;26;9;9,3;22;20,5;0;28;76,6;14,6;22,6;25,9;49;0
13;13,3;0;0;19;0;5,2;30;0;0;20;78,5;29,3;0;0;26;0
6;0;28,7;25;19;10;8;21;0;31,5;24;65,1;14,7;20,3;23,5;28;0
12;28,1;0;0;35;0;11,9;30;27,1;45;27;71;11;0;0;0;0
9;26;28;0;0;16;10,8;22;31,3;55,3;25;93,5;27,4;41,3;59,4;0;0
18;28,9;0;0;0;0;10,4;38;34,1;0;0;71,9;45,7;0;0;45;0
31;38,5;32,6;33,2;30;18;8,6;42;37,4;0;37;120,2;54,9;50,6;37,8;0;0
34;44,6;0;0;32;0;12;35;43,2;0;42;102,1;87,8;0;0;68;0
25;36,9;38,1;32,2;0;19;7,8;31;37,4;0;36;110,6;65,8;59;41,5;0;0
23;28,8;20,8;47,7;0;21;0;36;32,9;0;38;125,7;51,2;43,7;71,6;53;0
10;17,2;0;0;0;0;0;34;36,6;0;32;112,1;31,1;0;0;0;0
7;21,3;18,1;0;0;14;0;38;36,3;0;28;70,9;31,1;39,7;56;50;0
16;24,4;0;0;0;0;0;29;37,3;26,8;0;71,8;29,3;0;0;0;0
14;13,1;35;23,7;0;11;0;28;28,6;43,9;31;89;20,1;0;33,8;0;0
9;28,5;0;0;0;0;0;37;32,4;56;29;102,9;14,6;0;0;17;0
26;36,4;30,6;29,2;0;20;5,9;38;37,8;0;30;106,6;67,7;45,9;0;0;0
21;45;0;0;0;0;0;39;36,7;0;31;109,2;25,6;0;0;0;0
32;48,2;44,6;0;0;23;7;54;46,6;0;48;115,2;42,1;35,3;69,6;0;0
30;27,8;0;0;0;0;0;41;47;0;25;65,9;25,6;0;0;59;0
13;22,6;25;0;0;18;6,2;40;40,8;0;0;79,8;23,8;22,7;122,7;0;0
9;11,4;0;0;0;0;0;15;32,1;0;24;73,1;71,3;0;0;0;0
4;9,6;33,3;27,3;0;7;6;24;26,6;0;25;62,6;86;20,6;60;46;0
13;0;0;0;0;0;0;26;28,4;0;31;43,5;14,6;0;0;0;0
5;0;21,3;0;0;0;7,6;48;28,3;0;0;80,5;20,1;38;71,4;0;0
10;0;0;0;0;0;0;64;50,8;0;47;85,3;29,3;0;0;59;0
12;0;27;0;0;19;10,9;49;48,1;0;36;93,8;20,1;44,8;68,3;0;0
8;0;0;0;0;0;0;39;34,5;0;0;115,5;49,4;0;0;0;0
13;41,3;44,2;39,9;53;22;11,7;67;45,9;0;43;120,5;34,8;27,9;96,6;67;0
19;48;0;0;50;0;0;69;48,6;0;49;141,6;40,2;0;0;74;0
13;40,4;49,8;60,4;43;27;14;91;67,3;0;59;152,5;76,8;31,9;100;0;0
13;49,9;0;0;24;0;0;71;69,8;0;73;117,8;54,9;0;0;91;19
12;67,2;30;0;27;18;15,8;97;67,8;0;51;144,9;91,5;54,5;69,8;0;0
27;50,9;0;0;0;0;0;77;81,9;89,1;45;135,3;67,7;0;0;0;0
17;47;60;0;0;19;15;58;51,4;77;0;119,1;29,3;49;74,8;81;0
26;50,3;0;0;72;0;0;78;60,9;91,9;58;139,6;31,1;0;0;104;23
64;56,7;62,4;83,4;62;33;16,5;70;72,1;0;74;169,1;56,7;97,8;83,8;111;35
39;44,3;0;0;51;0;0;77;61;0;59;132,7;58,5;0;0;67;36
28;45,7;54,4;54;29;18;17,5;72;58,6;0;82;132,6;32,9;51,4;60,8;92;19
31;47,3;0;0;0;0;0;62;58,5;0;76;152,2;104,3;0;0;0;0
33;38,7;37,8;0;0;27;18,4;67;56,2;0;73;143,4;40,2;66,8;66,9;80;0
12;15,3;14,7;0;0;14;5,4;26;48;0;0;104,3;60,4;18,6;0;0;0
9;30,1;0;0;16;0;0;34;18,9;0;24;63,2;43,9;0;0;25;7
32;55,2;58,8;82,6;72;48;18,3;186;81,1;234,4;122;150,7;34,8;69,8;71,3;108;22
31;41,2;0;0;76;0;0;109;127,1;132,3;65;212,6;168,3;0;0;70;31
19;20,5;44,1;36,7;0;84;47;70;83,6;96,5;49;142,8;139;198,5;240,5;65;11
13;36,4;0;0;0;0;0;59;52,8;0;42;91,2;21,9;0;0;0;0
16;52,4;23,8;0;0;28;28,7;65;53,1;0;46;100,5;43,9;53,4;66,4;0;0
17;37,3;0;0;0;0;0;44;50,2;0;0;99;20,1;0;0;23;0
29;71,4;55,3;45,7;96;36;15,5;84;54,1;0;71;144,9;31,1;73;196;0;24
47;70,7;0;0;85;0;0;141;93,4;154,5;101;222,4;117,1;0;0;0;28
31;27,2;40,8;32,3;63;42;13,4;78;73,2;109;29;128,8;47,6;146,9;0;30;17
19;55,6;0;0;49;0;0;54;57,1;86;52;100,5;100,6;0;0;45;10
30;63,5;59,6;0;23;46;10,7;83;62,4;126;66;114,6;58,5;136,8;0;0;0
20;20,6;0;0;0;0;0;41;59,1;67,5;33;126;11;0;0;26;0
5;4,4;21,9;0;0;42;9,4;15;16;16,8;0;40,6;5,5;11,3;15;0;0
3;14,9;0;0;0;0;0;29;21,5;0;14;57,5;7,3;0;0;31;3
8;16,3;20,6;18,1;0;16;8,3;24;22,6;29,1;23;69,1;11;24,2;35,6;0;8
5;14,8;0;0;0;0;0;22;18,3;24,2;20;62,5;11;0;0;29;0
