DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;MpTarnowWIOSSoli6303;MzPlockReja;MzRadomTochter;MzWarszUrsynow;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor;WmPuszcz_IOS_Borecka
36;21,3;25;37,083;36,375;37;27,4;17;35;29;34;42,41;39;15,81
44,7;25,7;30;62,667;64,542;43;21,9;23;14;24;52;88,33;43;8,33
49,8;30,8;36;55,5;41,958;26;14,6;25;42;28;65;86,2;39;14,66
24;38,1;37;45,25;37,043;36;20,1;29;24;20;44;44,26;34;14,66
27,7;12,8;40;40,667;34,583;0;16,5;24;30;24;41;20,46;25;13,92
44,1;20,9;38;35,833;34,333;29;9,2;29;39;22;51;80;42;17,28
33,1;22,9;46;55,583;34,125;41;20,1;23;40;14;44;62,31;37;23,74
10,1;14,6;20;32,208;22,625;37;16,5;19;27;8;30;28,06;18;10,21
15,1;19,4;32;30,792;30,458;36;14,6;6;15;23;33;14,68;36;2,55
26,9;20,5;23;0;60,042;62;17,7;6;16;19;44;61,44;53;4,16
37,5;17,2;57;0;22,625;32;16,5;11;20;34;30;31,06;36;5,89
61,7;34,3;58;0;48,667;53;18,3;12;62;7;53;53,29;72;6,89
67,8;16,1;28;0;43,792;0;29,2;17;61;15;59;67,45;70;8,73
42,8;20,8;42;0;31,625;0;23,7;11;18;26;54;106,81;84;8,63
59,1;18,5;35;0;27,583;0;18,2;6;19;23;40;74,49;42;11,75
35,8;17,4;42;0;32,5;0;25,6;8;20;21;26;21,25;35;14,55
32,5;25,1;47;0;54,292;0;21,9;9;30;39;28;63,66;33;13,21
46,5;23,8;61;0;52,87;0;27,4;17;44;47;86;177,69;84;15,17
88,3;0;49;0;54,542;0;27,5;11;22;24;92;109,03;205;8,4
50,6;0;24;0;40,917;0;21,9;13;30;7;61;35,69;59;3,44
20,9;11,4;33;0;38,542;0;12,7;8;13;6;39;57,87;44;7,67
31,2;8,8;26;0;44,75;0;23,7;7;21;31;36;31,81;21;4,88
26;9,5;15;0;6,542;0;9,2;9;6;14;10;9,31;5;1,24
42;15,9;30;0;21,087;32;9,1;10;9;32;23;31,34;35;1,52
50,7;54,5;54;0;57,792;47;0;11;29;29;41;88,66;26;6,81
50,5;39;52;0;64,208;28;0;15;37;44;81;105,6;49;20,46
37,4;25,3;77;0;93,667;69;0;20;44;22;81;134,12;49;7,16
57,7;32,8;67;0;106,5;49;0;25;50;35;72;107,36;47;11,38
32,7;17,7;33;0;91,292;20;0;10;43;18;32;57,45;22;15,74
17,1;13,9;18;0;26,75;27;7,3;6;17;9;5;20,93;5;3,7
29,9;19,4;31;32,333;28,13;26;11;12;11;13;14;32,69;65;6,36
84,2;32,3;45;100,958;107,75;39;21,9;20;29;17;34;72,41;26;14,35
139;52,1;64;115,9;110,958;59;20,1;37;43;23;46;98,8;62;9,7
51,2;37,5;50;120,542;90,217;39;21,9;36;44;30;80;103,7;33;32,25
17,6;24,9;17;41,458;0;0;20,1;18;28;10;5;30,28;5;17,32
13,8;10,6;16;17,875;22,85;0;7,3;5;10;11;0;22,96;15;5,13
21,6;19,8;28;52;40,375;20;11;12;9;13;0;38,98;5;13,86
23,2;37,9;34;112,875;81,217;28;16,4;21;16;10;0;45,93;11;14,13
17,1;25,8;28;146,083;107,391;23;18,3;22;23;8;17;52,96;19;17,81
16,7;45,6;35;115,708;106,583;49;11;28;33;22;22;47,59;21;20,04
21,2;13,8;34;72,917;79,167;11;0;14;27;12;20;51,76;5;23,14
28,9;10,6;25;37,25;27,583;13;0;18;17;48;13;25,37;5;17,15
47;24,7;39;67,043;61,958;0;0;21;11;17;22;37,22;23;20,55
28,4;34,6;43;74,417;77,591;0;0;27;24;15;43;0;32;11,11
76,7;42,9;43;95,667;75,375;0;0;42;42;35;77;97,96;56;13,01
68,7;19,3;31;55,625;58,125;0;0;35;35;35;28;62,13;33;14,84
48,8;0;38;92,458;106,083;0;0;29;19;40;64;58,15;56;13,65
37,2;0;41;97,5;99,708;0;0;38;39;34;42;48,7;24;12,58
34,5;29,5;35;0;74;0;0;20;25;14;15;49,44;12;10,49
48;23,6;39;0;75;0;0;29;20;25;50;93,06;39;13,31
31,8;17;42;70,708;63;0;0;32;30;47;41;36,85;16;8,5
51,7;41,1;53;49,042;49;0;16,5;35;37;32;33;53,8;38;8,72
44,1;10,5;26;41,583;36,667;0;40,2;14;18;53;39;45,83;30;6,47
19,5;0;24;19,667;12,722;0;34,8;12;7;41;24;23,33;14;10,32
18,4;0;35;22,333;20;0;21,9;13;22;32;0;23,24;5;16,07
30,8;43,8;37;53,333;52;0;22;22;31;56;0;31,3;42;23,66
26,5;18,7;33;53,792;48,5;0;27,2;29;33;21;0;0;25;16,19
32,9;20,1;34;32,5;22,75;0;18,3;27;11;38;0;34,72;19;14,96
49,4;16,2;33;42,875;35,958;0;16,5;24;11;14;0;71,67;87;8,58
58,8;19,7;38;47,625;41,208;0;16,5;21;11;14;61;89,26;87;10,26
108;57,9;78;65,292;54,227;0;36,6;53;0;52;87;116,85;74;10,77
102;82,5;95;115,125;91,158;0;96,4;52;0;0;77;124,72;97;45,02
53;43,7;61;154,542;157;0;0;46;0;72;42;101,02;44;87,22
50,9;15;47;45,875;103;0;54,7;29;18;37;16;72,59;28;34,75
29,1;21,4;36;36,667;43,261;0;36,6;17;23;33;34;28,33;10;14,02
42,3;27;34;62,292;54,458;0;27,3;36;22;17;56;72,5;38;12,4
22;13;21;27,792;21,625;0;27,3;21;20;13;12;35,65;5;11,26
12,2;0;24;21,708;22,091;0;9,1;8;19;11;5;20,65;5;5
71,6;0;70;118,917;106,263;0;47,4;44;38;27;55;145,19;122;20,03
36,2;0;39;73,667;49,409;0;69,5;55;71;21;59;93,24;29;24,85
0;0;43;48,167;35,714;0;27,4;29;24;16;48;71,39;50;7,87
53,1;0;46;75,875;70,478;0;38,3;46;61;19;48;113,43;65;20,58
46,5;0;61;56,167;45,458;0;20;33;23;0;94;135,83;39;18,94
